run_name	region	fold	horizon_idx	seed	status	elapsed_s	final_test_auc	final_test_acc	final_val_auc	final_val_acc	test_gen_auc_avg	test_gen_acc_avg	val_gen_auc_avg	val_gen_acc_avg	val_condition_gap_auc	best_score	cfg_json
anchor_eeg__s0__h4	VPM	M710	4	0	ok	703.8000	0.7547	0.7101	0.7706	0.6857	0.7512	0.7143	0.7755	0.6857	0.1600	0.7755	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s1__h4	VPM	M710	4	1	ok	705.2000	0.7341	0.7017	0.7551	0.6714	0.7295	0.7185	0.8065	0.6714	0.1020	0.8065	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s2__h4	VPM	M710	4	2	ok	710.9000	0.7560	0.6723	0.6196	0.5714	0.7348	0.6555	0.7420	0.5714	0.2759	0.7420	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s3__h4	VPM	M710	4	3	ok	708.4000	0.7573	0.7395	0.7543	0.6714	0.7490	0.7437	0.8114	0.6714	0.1943	0.8114	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s4__h4	VPM	M710	4	4	ok	716.6000	0.7442	0.6975	0.7094	0.6000	0.7487	0.7143	0.7445	0.6143	0.1461	0.7445	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s0__h5	VPM	M710	5	0	ok	708.5000	0.7210	0.6849	0.7657	0.6429	0.7022	0.6891	0.7624	0.6429	0.1984	0.7624	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s1__h5	VPM	M710	5	1	ok	706.5000	0.7036	0.6849	0.7918	0.7143	0.7055	0.6975	0.8547	0.7143	0.0547	0.8547	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s2__h5	VPM	M710	5	2	ok	709.3000	0.7259	0.6975	0.7878	0.6714	0.7302	0.6933	0.8024	0.6714	0.1861	0.8024	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s3__h5	VPM	M710	5	3	ok	713.6000	0.7181	0.6303	0.8204	0.7429	0.6961	0.6513	0.8392	0.7429	0.2351	0.8392	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_eeg__s4__h5	VPM	M710	5	4	ok	709.4000	0.7168	0.6891	0.7396	0.6571	0.7194	0.6807	0.7543	0.6714	0.1053	0.7543	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": false, "include_photometry": false, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_eeg", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
