run_name	region	fold	horizon_idx	seed	status	elapsed_s	final_test_auc	final_test_acc	final_val_auc	final_val_acc	test_gen_auc_avg	test_gen_acc_avg	val_gen_auc_avg	val_gen_acc_avg	val_condition_gap_auc	best_score	cfg_json
anchor_vpm__s0__h4	VPM	M710	4	0	ok	827.7000	0.7059	0.5924	0.6963	0.6571	0.7326	0.5840	0.7722	0.7000	0.1665	0.7722	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s1__h4	VPM	M710	4	1	ok	823.1000	0.7544	0.6975	0.7298	0.6714	0.7547	0.6975	0.7567	0.6857	0.1576	0.7567	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s2__h4	VPM	M710	4	2	ok	826.0000	0.6930	0.6303	0.7592	0.7571	0.6844	0.6345	0.7829	0.7714	0.1984	0.7829	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s3__h4	VPM	M710	4	3	ok	825.4000	0.7407	0.7437	0.7510	0.5714	0.7439	0.7185	0.7690	0.6143	0.1224	0.7690	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s4__h4	VPM	M710	4	4	ok	825.3000	0.7363	0.6765	0.8147	0.7429	0.6878	0.6765	0.8278	0.7571	0.2637	0.8278	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s0__h5	VPM	M710	5	0	ok	828.4000	0.6788	0.6050	0.7290	0.6714	0.6685	0.5924	0.8212	0.6857	0.0824	0.8212	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s1__h5	VPM	M710	5	1	ok	822.3000	0.6789	0.6176	0.7837	0.6571	0.6718	0.6134	0.8000	0.6714	0.0596	0.8000	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s2__h5	VPM	M710	5	2	ok	819.7000	0.6775	0.5252	0.7469	0.7286	0.6360	0.5252	0.7780	0.7571	0.2449	0.7780	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s3__h5	VPM	M710	5	3	ok	831.5000	0.6997	0.5798	0.7510	0.7286	0.6804	0.5798	0.8449	0.7143	0.2971	0.8449	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_vpm__s4__h5	VPM	M710	5	4	ok	855.4000	0.7028	0.6176	0.7478	0.7000	0.7074	0.6176	0.8261	0.6714	0.2441	0.8261	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_vpm", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
