region	fold	horizon_idx	run_kind	run_name	seed	diffusion_modality	n_seeds_in_ensemble	n_samples_per_seed	n_total_generated_per_event	n_test	n_test_pos	n_test_neg	test_auc	test_auc_ci_lo	test_auc_ci_hi	test_acc	test_acc_ci_lo	test_acc_ci_hi	test_balanced_acc	val_auc	val_acc	preictal_test_auc	preictal_test_acc	preictal_mm_eeg_emg_test_auc	preictal_mm_eeg_emg_test_acc	preictal_mm_eeg_photo_test_auc	preictal_mm_eeg_photo_test_acc	preictal_mm_eeg_emg_photo_test_auc	preictal_mm_eeg_emg_photo_test_acc	target_test_auc	target_test_acc	best_score	best_select_by	val_holdout_mouse	run_dir
VPM	M710	1	single_ckpt	anchor_vpm__s1__h1	1	eeg_emg_photo	1	16	16	238	119	119	0.7139	0.6548	0.7763	0.6597	0.6008	0.7144	0.6597	0.8376	0.5857	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_1\anchor_vpm__s1__h1
VPM	M710	1	single_ckpt	anchor_vpm__s2__h1	2	eeg_emg_photo	1	16	16	238	119	119	0.7214	0.6556	0.7866	0.6807	0.6176	0.7437	0.6807	0.8571	0.6429	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_1\anchor_vpm__s2__h1
VPM	M710	1	single_ckpt	anchor_vpm__s3__h1	3	eeg_emg_photo	1	16	16	238	119	119	0.6963	0.6318	0.7632	0.6176	0.5546	0.6765	0.6176	0.7665	0.6714	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_1\anchor_vpm__s3__h1
VPM	M710	1	single_ckpt	anchor_vpm__s4__h1	4	eeg_emg_photo	1	16	16	238	119	119	0.6896	0.6196	0.7565	0.6092	0.5462	0.6681	0.6092	0.8261	0.8000	0.7309	0.6639	0.6667	0.6050	0.7042	0.5546	0.7231	0.6261	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_1\anchor_vpm__s4__h1
VPM	M710	2	ensemble	ensemble_5seed		eeg	5	16	80	238	119	119	0.7584	0.6991	0.8195	0.7185	0.6639	0.7773	0.7185	0.8473	0.7429	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479			M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\ensembles\VPM\fold_M710\horizon_2\eeg
VPM	M710	2	single_ckpt	anchor_eeg__s0__h2	0	eeg	1	16	16	238	119	119	0.7516	0.6914	0.8156	0.7017	0.6429	0.7647	0.7017	0.7567	0.7571	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_2\anchor_eeg__s0__h2
VPM	M710	2	single_ckpt	anchor_eeg__s1__h2	1	eeg	1	16	16	238	119	119	0.7583	0.6987	0.8186	0.7143	0.6597	0.7731	0.7143	0.7600	0.7143	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_2\anchor_eeg__s1__h2
VPM	M710	2	single_ckpt	anchor_eeg__s2__h2	2	eeg	1	16	16	238	119	119	0.7412	0.6777	0.8073	0.7059	0.6471	0.7647	0.7059	0.8506	0.7571	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_2\anchor_eeg__s2__h2
VPM	M710	2	single_ckpt	anchor_eeg__s3__h2	3	eeg	1	16	16	238	119	119	0.7493	0.6867	0.8065	0.6681	0.6092	0.7269	0.6681	0.8457	0.7286	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_2\anchor_eeg__s3__h2
VPM	M710	2	single_ckpt	anchor_eeg__s4__h2	4	eeg	1	16	16	238	119	119	0.7169	0.6508	0.7853	0.7059	0.6471	0.7605	0.7059	0.7347	0.6571	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_2\anchor_eeg__s4__h2
