run_name	region	fold	horizon_idx	seed	status	elapsed_s	final_test_auc	final_test_acc	final_val_auc	final_val_acc	test_gen_auc_avg	test_gen_acc_avg	val_gen_auc_avg	val_gen_acc_avg	val_condition_gap_auc	best_score	cfg_json
anchor_b02__s0__h4	RT	M238	4	0	ok	1069.4000	0.8561	0.6579	0.7448	0.6316	0.8182	0.6278	0.7353	0.5987	0.1730	0.7353	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_b02", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_b02__s1__h4	RT	M238	4	1	ok	1068.4000	0.8782	0.7481	0.7562	0.6447	0.8352	0.6955	0.7446	0.6316	0.1323	0.7446	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_b02", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_b02__s2__h4	RT	M238	4	2	ok	1067.6000	0.8307	0.7669	0.6882	0.6776	0.8171	0.6992	0.7268	0.6513	0.1475	0.7268	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_b02", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_b02__s3__h4	RT	M238	4	3	ok	788.8000	0.8808	0.8271	0.7365	0.7237	0.8712	0.8083	0.7516	0.7039	0.1775	0.7516	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_b02", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_b02__s4__h4	RT	M238	4	4	ok	787.0000	0.8681	0.5000	0.7105	0.5000	0.8258	0.5000	0.7564	0.5197	0.1248	0.7564	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_b02", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_b02__s0__h5	RT	M238	5	0	ok	1065.3000	0.8046	0.6992	0.7566	0.7039	0.7843	0.6767	0.7574	0.7105	0.1877	0.7574	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_b02", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_b02__s1__h5	RT	M238	5	1	ok	1061.0000	0.8389	0.5000	0.7742	0.5000	0.7857	0.5000	0.7678	0.5263	0.1884	0.7678	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_b02", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_b02__s2__h5	RT	M238	5	2	ok	1068.6000	0.8423	0.5000	0.7465	0.5000	0.7861	0.5000	0.7434	0.5000	0.0284	0.7434	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_b02", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_b02__s3__h5	RT	M238	5	3	ok	1066.8000	0.8156	0.7368	0.8011	0.7500	0.8106	0.6842	0.7169	0.6579	0.0308	0.7169	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_b02", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
anchor_b02__s4__h5	RT	M238	5	4	ok	1076.2000	0.8533	0.5000	0.7791	0.5000	0.7639	0.5000	0.7488	0.4934	0.0727	0.7488	{"augment": true, "aux_ce_weight": 2.0, "aux_fm_weight": 10.0, "base_ch": 64, "cond_drop_prob": 0.15, "cross_mouse_mixup": true, "depth": 4, "epochs": 300, "eps_weight": 0.25, "eval_every": 20, "eval_gen_samples": 4, "eval_guidance_scale": 2.0, "eval_steps": 50, "final_eval_samples": 16, "include_emg": true, "include_photometry": true, "mixup_prob": 0.5, "mouse_adv_lambda_grl": 1.0, "mouse_adv_weight": 0.5, "norm_mode": "global", "past_ce_weight": 1.0, "past_encoder_depth": 3, "past_self_attn_layers": 2, "run_name": "anchor_b02", "select_best_by": "val_gen_auc_avg", "t_aux_max": 900, "t_aux_min": 100, "time_dim": 256, "token_dim": 256}
